AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,Frontal,Temporal,Parietal,Occipital,Fronto-central,Participant,Game,Emotion
-107.6659,-0.98799,-173.8456,7.9025,-119.5189,0.98799,15.8045,25.6816,11.8535,30.6211,-183.7232,-24.6941,-3.9505,61.2407,-65.52131666666666,28.6451,-104.20865,21.2373,20.74305,S21,G1,Boredom
-115.034,-9.8183,-175.2679,5.4524,-119.2618,-5.9858,10.9052,18.2147,8.1788,23.8453,-183.5648,-30.126,10.3865,69.4203,-69.9859,39.9034,-106.8454,16.012050000000002,14.55995,S21,G1,Boredom
-107.6382,-1.8209,-164.2581,1.668,-107.6614,-2.1694,17.6592,23.5425,1.2673,19.9448,-177.9837,-32.7642,23.8633,62.7853,-63.64666666666667,43.3243,-105.37395,10.60605,20.60085,S21,G1,Boredom
-96.7356,2.7331,-162.7989,-2.8769,-112.5614,7.3441,2.4996,29.5373,-12.9087,4.6481,-180.64,-42.1576,9.0471,54.5725,-60.81593333333333,31.8098,-111.3988,-4.1303,16.018449999999998,S21,G1,Boredom
-84.017,8.4957,-157.9695,7.1733,-108.7708,21.0034,-3.7996,41.8651,-12.3565,3.1585,-170.7891,-36.6651,-1.3733,65.3981,-52.34748333333334,32.0124,-103.7271,-4.599,19.03275,S21,G1,Boredom
-90.829,5.0224,-158.3689,2.7919,-108.1706,24.4113,-6.5352,35.1307,-17.5412,7.9084,-171.4073,-33.4768,3.6486,75.5743,-54.19048333333333,39.61145,-102.44205,-4.8164,14.29775,S21,G1,Boredom
-88.3423,11.6361,-144.9152,0.64884,-97.7293,22.9471,-4.1675,28.0848,-10.5622,10.397,-172.9754,-30.4802,9.3562,70.4979,-49.292460000000005,39.92705,-101.7278,-0.0826000000000002,11.95865,S21,G1,Boredom
-80.5725,13.4067,-139.6781,-1.8598,-98.2863,23.0515,-1.4477,27.881,-14.3742,2.3649,-170.9931,-34.0846,4.3501,52.168,-47.32308333333334,28.25905,-102.53885,-6.00465,13.21665,S21,G1,Boredom
-75.2444,11.121,-132.7791,-3.2295,-96.8344,18.2112,0.12039,32.6279,-17.9565,3.7043,-161.2278,-31.5458,-0.35665,60.1744,-46.4592,29.908875,-96.3868,-7.126099999999999,16.374145,S21,G1,Boredom
-66.7782,15.3928,-113.9464,-5.0113,-77.1948,18.1065,2.0887,36.5977,-12.9276,12.372,-163.4067,-25.7015,4.6038,70.6639,-38.23856666666666,37.63385,-94.5541,-0.2778,19.343200000000003,S21,G1,Boredom
-59.3147,16.9385,-114.5183,-7.1798,-60.2168,17.5134,4.4326,39.8337,-7.7076,17.0625,-161.011,-17.7391,18.4275,79.4875,-34.46295,48.9575,-89.37505,4.67745,22.13315,S21,G1,Boredom
-66.1272,3.5749,-121.7472,-5.2673,-56.1096,4.1153,2.6849,32.0118,-3.7875,17.5205,-140.9786,-11.242,26.928,81.1385,-40.26018333333334,54.03325,-76.1103,6.866499999999999,17.34835,S21,G1,Boredom
-60.6783,0.89065,-111.2079,4.432,-38.643,-10.2316,8.9446,18.7309,0.88456,23.8766,-134.0021,-2.1717,19.8791,75.7764,-35.90635833333334,47.82775,-68.0869,12.38058,13.83775,S21,G1,Boredom
-47.6533,1.3314,-99.1022,7.6238,-22.2244,-23.7177,10.8772,3.5071,-0.65026,21.9507,-140.062,-1.5472,23.1325,57.1298,-30.623733333333337,40.131150000000005,-70.80460000000001,10.65022,7.19215,S21,G1,Boredom
-30.6941,-6.1567,-88.7113,21.2664,-6.7909,-36.3947,13.6818,-10.8034,6.797,27.0544,-142.2519,2.0029,35.8445,39.602,-24.58021666666666,37.72324999999999,-70.1245,16.9257,1.4392000000000005,S21,G1,Boredom
-14.7525,-12.2076,-75.9808,34.0904,7.7165,-48.311,11.3791,-15.0446,13.797,37.7775,-121.3695,11.2656,40.336,51.1031,-18.24083333333333,45.71955,-55.051950000000005,25.78725,-1.8327500000000008,S21,G1,Boredom
